Year,USA_male_count_thousands,USA_male_mean_income_current,USA_male_mean_income_2017currency,USA_female_count_thousands,USA_female_mean_income_current,USA_female_mean_income_2017currency,Northeast_male_count_thousands,Northeast_male_mean_income_current,Northeast_male_mean_income_2017currency,Northeast_female_count_thousands,Northeast_female_mean_income_current,Northeast_female_mean_income_2017currency,Midwest_male_count_thousands,Midwest_male_mean_income_current,Midwest_male_mean_income_2017currency,Midwest_female_count_thousands,Midwest_female_mean_income_current,Midwest_female_mean_income_2017currency,South_male_count_thousands,South_male_mean_income_current,South_male_mean_income_2017currency,South_female_count_thousands,South_female_mean_income_current,South_female_mean_income_2017currency,West_male_count_thousands,West_male_mean_income_current,West_male_mean_income_2017currency,West_female_count_thousands,West_female_mean_income_current,West_female_mean_income_2017currency
2017,"7,190","71,196","71,196","7,239","44,329","44,329","1,499","72,940","72,940","1,464","46,253","46,253",850,"75,534","75,534",782,"44,754","44,754","1,542","66,149","66,149","1,565","40,276","40,276","3,299","71,645","71,645","3,428","45,260","45,260"
2016,"6,901","67,477","68,928","6,996","41,250","42,137","1,378","72,406","73,963","1,533","45,344","46,319",822,"70,810","72,333",776,"38,854","39,690","1,475","64,473","65,860","1,432","40,347","41,215","3,226","65,896","67,313","3,255","40,292","41,158"
2015,"6,555","63,934","66,151","6,748","41,211","42,640","1,293","70,421","72,863","1,302","41,730","43,177",787,"65,254","67,517",757,"39,828","41,209","1,472","64,771","67,017","1,404","38,669","40,010","3,003","60,384","62,478","3,285","42,412","43,883"
2014,"6,411","59,620","61,794","6,564","39,083","40,508","1,413","59,835","62,017","1,296","41,354","42,862",752,"50,923","52,780",774,"34,238","35,486","1,440","66,251","68,667","1,406","38,022","39,408","2,806","58,438","60,569","3,088","39,828","41,280"
2013 (39),"6,057","64,164","67,630","6,481","37,797","39,839","1,315","55,922","58,943","1,255","44,122","46,505",647,"66,641","70,241",663,"30,540","32,190","1,327","72,444","76,357","1,378","35,068","36,962","2,768","63,528","66,959","3,186","37,996","40,048"
2013 (38),"6,162","57,522","60,629","6,043","36,812","38,800","1,340","61,631","64,960","1,151","37,161","39,168",694,"60,247","63,501",635,"35,635","37,560","1,438","56,198","59,234","1,325","35,212","37,114","2,690","55,480","58,477","2,932","37,652","39,686"
2012,"5,810","57,141","61,120","5,972","37,004","39,581","1,164","64,734","69,241","1,060","37,493","40,104",725,"50,612","54,136",645,"33,764","36,115","1,272","57,594","61,604","1,308","38,989","41,704","2,649","55,372","59,228","2,959","36,656","39,208"
2011,"5,556","53,349","58,272","5,820","34,609","37,803","1,158","58,184","63,553","1,108","35,855","39,164",630,"47,388","51,761",681,"32,006","34,960","1,286","56,699","61,931","1,269","34,432","37,610","2,483","50,873","55,568","2,763","34,831","38,045"
2010 (37),"5,406","51,742","58,299","5,604","34,112","38,435","1,094","55,704","62,763","1,029","34,624","39,011",606,"49,470","55,739",643,"29,374","33,096","1,208","55,328","62,339","1,167","35,452","39,944","2,498","48,825","55,012","2,765","34,456","38,822"
2009 (36),"4,828","56,670","64,904","4,923","35,824","41,029","1,016","61,646","70,603",970,"35,649","40,829",526,"57,472","65,823",547,"35,415","40,561","1,042","59,199","67,801",994,"35,920","41,139","2,245","53,056","60,765","2,412","35,947","41,170"
2008,"4,788","54,231","61,895","4,787","34,375","39,233","1,020","54,921","62,683",945,"35,169","40,139",518,"55,133","62,924",513,"31,789","36,281","1,025","58,843","67,159","1,012","34,202","39,035","2,225","51,579","58,868","2,317","34,701","39,605"
2007,"4,709","52,538","62,266","4,786","34,980","41,457",983,"52,131","61,784",959,"33,689","39,927",538,"63,070","74,748",542,"42,662","50,561","1,006","52,004","61,633",954,"32,026","37,956","2,183","50,374","59,701","2,331","34,935","41,404"
2006,"4,692","55,208","67,286","4,687","34,315","41,822","1,061","62,564","76,251","1,014","38,132","46,474",530,"65,479","79,804",508,"30,883","37,639",965,"57,372","69,923",837,"34,459","41,998","2,136","48,024","58,530","2,329","33,350","40,646"
2005,"4,518","49,654","62,479","4,520","30,790","38,742",986,"50,335","63,335",901,"34,057","42,853",536,"53,790","67,683",477,"29,970","37,711",824,"53,141","66,866",808,"27,659","34,803","2,172","47,001","59,140","2,333","30,780","38,730"
2004 (35),"4,352","48,311","62,848","4,294","29,385","38,227",871,"48,882","63,591",809,"33,134","43,104",542,"51,514","67,015",471,"27,183","35,362",873,"47,205","61,409",854,"26,885","34,975","2,067","47,698","62,050","2,159","29,450","38,312"
2003,"4,266","43,842","58,575","4,252","27,807","37,151",817,"48,129","64,303",716,"30,853","41,221",544,"53,616","71,634",498,"31,218","41,709",847,"42,011","56,129",859,"26,977","36,043","2,057","40,309","53,855","2,180","26,355","35,212"
2002,"4,139","44,124","60,291","4,137","26,132","35,706",844,"53,384","72,943",744,"27,338","37,354",448,"47,449","64,834",464,"24,185","33,046",858,"42,519","58,097",870,"25,235","34,481","1,988","40,133","54,837","2,059","26,514","36,228"
