Year,USA_male_count_thousands,USA_male_mean_income_current,USA_male_mean_income_2017currency,USA_female_count_thousands,USA_female_mean_income_current,USA_female_mean_income_2017currency,Northeast_male_count_thousands,Northeast_male_mean_income_current,Northeast_male_mean_income_2017currency,Northeast_female_count_thousands,Northeast_female_mean_income_current,Northeast_female_mean_income_2017currency,Midwest_male_count_thousands,Midwest_male_mean_income_current,Midwest_male_mean_income_2017currency,Midwest_female_count_thousands,Midwest_female_mean_income_current,Midwest_female_mean_income_2017currency,South_male_count_thousands,South_male_mean_income_current,South_male_mean_income_2017currency,South_female_count_thousands,South_female_mean_income_current,South_female_mean_income_2017currency,West_male_count_thousands,West_male_mean_income_current,West_male_mean_income_2017currency,West_female_count_thousands,West_female_mean_income_current,West_female_mean_income_2017currency
2017,"13,640","40,880","40,880","16,246","32,802","32,802","2,431","42,391","42,391","3,005","32,688","32,688","2,310","37,984","37,984","2,670","31,337","31,337","7,423","39,661","39,661","9,104","32,527","32,527","1,475","49,059","49,059","1,468","37,405","37,405"
2016,"13,295","41,376","42,266","15,923","31,186","31,857","2,329","43,255","44,185","2,821","32,416","33,113","2,104","37,816","38,629","2,770","28,203","28,810","7,428","40,772","41,649","8,822","31,158","31,828","1,433","46,677","47,681","1,511","34,512","35,254"
2015,"12,955","38,979","40,331","15,710","30,624","31,686","2,343","38,437","39,770","2,779","31,024","32,100","2,151","36,721","37,994","2,699","28,012","28,983","7,027","38,095","39,416","8,768","30,378","31,432","1,434","47,581","49,231","1,463","36,153","37,407"
2014,"12,539","38,031","39,418","15,383","28,427","29,464","2,251","37,511","38,879","2,831","29,758","30,843","2,058","34,281","35,531","2,636","26,941","27,923","6,868","38,351","39,749","8,486","28,302","29,334","1,363","42,941","44,507","1,430","29,268","30,335"
2013 (39),"12,343","36,938","38,933","15,289","28,400","29,934","2,153","38,718","40,809","2,661","29,840","31,452","2,092","34,603","36,472","2,487","29,155","30,730","6,852","36,049","37,996","8,696","27,353","28,830","1,246","42,676","44,981","1,444","30,752","32,413"
2013 (38),"12,311","35,856","37,793","15,038","27,141","28,607","2,240","34,834","36,716","2,727","28,255","29,781","1,985","34,402","36,260","2,610","25,963","27,365","6,728","36,472","38,442","8,334","27,076","28,538","1,359","36,622","38,600","1,367","27,567","29,056"
2012,"11,961","34,232","36,616","14,722","27,531","29,448","2,037","36,577","39,124","2,641","28,752","30,754","1,984","34,598","37,007","2,524","25,334","27,098","6,630","32,846","35,133","8,172","27,166","29,058","1,310","37,050","39,630","1,384","31,357","33,540"
2011,"11,562","34,086","37,232","14,411","27,106","29,607","1,991","35,235","38,487","2,539","28,522","31,154","1,971","28,974","31,648","2,575","23,785","25,980","6,382","34,077","37,222","7,998","27,605","30,153","1,218","40,523","44,263","1,299","27,854","30,424"
2010,"11,433","32,453","36,565","14,212","26,315","29,650","2,071","32,451","36,563","2,531","28,237","31,815","1,949","29,657","33,415","2,413","23,981","27,020","6,214","32,984","37,164","8,003","25,960","29,250","1,198","34,249","38,589","1,264","29,167","32,863"
2009,"11,064","33,077","37,883","13,793","26,059","29,845","1,902","34,150","39,112","2,439","27,190","31,141","1,947","30,822","35,301","2,407","25,993","29,770","6,054","31,797","36,417","7,685","25,630","29,354","1,161","41,775","47,845","1,262","26,618","30,486"
2008,"11,183","32,986","37,648","13,616","26,233","29,940","1,940","35,948","41,028","2,432","27,215","31,061","1,969","29,449","33,611","2,418","26,362","30,088","6,023","32,379","36,955","7,532","25,301","28,877","1,251","36,881","42,093","1,234","29,732","33,934"
2007,"10,981","32,481","38,495","13,427","26,950","31,940","1,893","32,407","38,408","2,472","30,221","35,817","1,888","31,979","37,900","2,397","24,886","29,494","5,960","31,937","37,850","7,292","26,109","30,943","1,239","35,980","42,642","1,265","29,317","34,745"
2006,"10,738","32,232","39,283","13,172","25,839","31,492","1,826","34,443","41,978","2,363","27,938","34,050","1,837","30,497","37,169","2,367","24,967","30,429","5,961","31,080","37,879","7,240","24,884","30,328","1,114","37,627","45,859","1,203","29,181","35,565"
2005,"10,651","30,791","38,744","13,237","23,877","30,044","1,905","34,988","44,025","2,433","25,421","31,987","1,826","27,808","34,990","2,349","23,159","29,140","5,779","29,080","36,591","7,223","22,954","28,883","1,140","37,223","46,837","1,232","27,611","34,742"
2004 (35),"10,335","29,822","38,795","12,994","22,552","29,338","1,855","32,061","41,708","2,436","22,615","29,420","1,824","28,359","36,892","2,353","22,547","29,331","5,589","28,270","36,776","7,010","22,164","28,833","1,067","36,559","47,560","1,194","24,708","32,143"
2003,"10,291","28,880","38,585","12,924","22,400","29,927","1,819","30,778","41,121","2,430","22,865","30,549","1,852","27,655","36,948","2,348","21,731","29,034","5,587","28,081","37,518","6,953","21,536","28,773","1,032","32,058","42,831","1,193","27,799","37,141"
2002,"10,096","28,819","39,378","12,665","22,055","30,136","1,851","29,753","40,654","2,409","22,750","31,085","1,784","28,641","39,135","2,260","20,978","28,664","5,411","27,693","37,839","6,870","21,589","29,499","1,050","33,276","45,468","1,126","25,570","34,939"
2001,"9,944","27,685","38,425","12,414","21,215","29,445","1,789","28,769","39,929","2,384","21,679","30,089","1,725","26,169","36,321","2,328","20,403","28,318","5,448","26,874","37,299","6,742","20,892","28,997",982,"32,866","45,616",960,"24,290","33,713"
2000 (30),"9,905","27,494","39,246","12,461","20,415","29,141","1,759","28,095","40,104","2,329","21,261","30,349","1,775","27,020","38,569","2,280","20,793","29,681","5,440","26,929","38,440","6,843","19,627","28,016",932,"30,559","43,621","1,008","22,945","32,753"
1999 (29),"10,317","26,301","38,817","12,383","19,718","29,101","1,835","27,147","40,066","2,353","20,391","30,095","1,861","27,191","40,131","2,339","19,445","28,698","5,746","24,789","36,586","6,761","18,874","27,856",876,"32,558","48,052",930,"24,841","36,662"
1998,"9,776","23,971","36,132","12,272","17,931","27,028","1,750","23,128","34,861","2,316","18,578","28,003","1,702","24,418","36,805","2,275","18,318","27,611","5,439","23,396","35,265","6,711","17,002","25,627",885,"28,317","42,682",970,"21,912","33,028"
1997,"9,671","22,781","34,803","11,961","17,310","26,445","1,671","21,520","32,877","2,265","18,557","28,350","1,670","23,145","35,359","2,180","17,222","26,310","5,442","22,199","33,914","6,554","16,329","24,946",888,"28,034","42,828",962,"21,250","32,464"
1996,"9,410","22,509","35,131","11,817","16,531","25,801","1,705","23,525","36,716","2,242","16,803","26,225","1,603","24,030","37,505","2,130","18,863","29,440","5,118","20,998","32,772","6,550","15,325","23,918",984,"26,130","40,782",895,"19,124","29,848"
1995 (25),"9,339","21,322","34,164","11,607","14,907","23,886","1,590","21,366","34,235","2,154","16,294","26,108","1,710","21,568","34,559","2,044","15,572","24,951","5,132","20,129","32,253","6,481","13,743","22,021",907,"27,531","44,113",928,"18,351","29,404"
1994 (24),"9,199","20,213","33,168","11,450","14,948","24,528","1,536","21,835","35,829","2,018","17,225","28,265","1,657","19,402","31,837","2,179","14,241","23,368","5,194","19,163","31,445","6,322","14,064","23,078",812,"25,509","41,858",932,"17,661","28,980"
1993 (23),"8,947","19,090","31,979","11,267","13,764","23,057","1,495","21,456","35,943","1,951","15,268","25,577","1,698","20,380","34,140","2,388","13,647","22,861","4,993","17,574","29,440","6,109","12,718","21,305",761,"21,508","36,030",819,"18,326","30,699"
1992 (22),"9,104","17,480","30,020","11,076","12,769","21,930","1,489","19,525","33,532","1,870","13,949","23,956","1,732","17,775","30,527","2,286","12,921","22,191","5,095","16,318","28,025","6,064","11,917","20,466",788,"20,477","35,167",856,"15,823","27,175"
1991,"8,943","17,061","30,029","10,727","12,650","22,265","1,519","20,202","35,558","1,869","14,231","25,048","1,734","16,668","29,338","2,168","12,765","22,468","4,877","15,481","27,248","5,839","11,702","20,597",813,"21,510","37,860",850,"15,395","27,097"
1990,"8,820","16,985","30,983","10,687","12,049","21,979","1,524","18,140","33,090","1,947","14,030","25,593","1,651","17,664","32,222","2,060","12,103","22,078","4,924","15,539","28,346","5,877","10,930","19,938",720,"22,879","41,735",802,"15,299","27,908"
1989,"8,806","16,147","30,907","10,577","11,690","22,376","1,609","18,424","35,265","1,854","13,934","26,671","1,667","16,403","31,397","2,064","11,722","22,437","4,738","14,346","27,460","5,818","10,484","20,067",793,"21,750","41,632",842,"15,009","28,729"
1988,"8,610","15,826","31,617","10,380","10,701","21,378","1,436","18,938","37,834","1,901","12,316","24,605","1,561","16,702","33,367","1,976","10,494","20,965","4,794","13,810","27,589","5,650","9,645","19,269",819,"20,499","40,953",853,"14,576","29,120"
1987 (21),"8,488","14,573","30,165","10,164","9,956","20,608","1,388","16,297","33,734","1,813","11,724","24,268","1,619","14,307","29,615","1,912","9,933","20,561","4,674","13,721","28,402","5,619","9,195","19,033",807,"17,079","35,353",820,"11,310","23,411"
1986,"8,285","13,861","29,679","9,819","9,538","20,422","1,342","15,599","33,400","1,752","11,609","24,857","1,509","15,449","33,079","1,794","10,034","21,484","4,629","12,311","26,360","5,422","8,335","17,847",805,"16,905","36,196",852,"11,897","25,473"
1985 (20),"8,127","13,376","29,141","9,611","9,001","19,610","1,434","13,955","30,403","1,791","10,467","22,804","1,506","14,628","31,869","1,899","9,539","20,782","4,377","12,278","26,749","5,154","8,001","17,431",810,"15,952","34,754",766,"10,962","23,882"
1984 (19),"7,851","12,119","27,309","9,460","8,622","19,429","1,405","13,497","30,415","1,849","9,359","21,090","1,520","12,188","27,465","1,870","9,029","20,346","4,217","11,289","25,439","5,001","7,986","17,996",710,"14,177","31,947",740,"10,043","22,631"
