Year,USA_male_count_thousands,USA_male_mean_income_current,USA_male_mean_income_2017currency,USA_female_count_thousands,USA_female_mean_income_current,USA_female_mean_income_2017currency,Northeast_male_count_thousands,Northeast_male_mean_income_current,Northeast_male_mean_income_2017currency,Northeast_female_count_thousands,Northeast_female_mean_income_current,Northeast_female_mean_income_2017currency,Midwest_male_count_thousands,Midwest_male_mean_income_current,Midwest_male_mean_income_2017currency,Midwest_female_count_thousands,Midwest_female_mean_income_current,Midwest_female_mean_income_2017currency,South_male_count_thousands,South_male_mean_income_current,South_male_mean_income_2017currency,South_female_count_thousands,South_female_mean_income_current,South_female_mean_income_2017currency,West_male_count_thousands,West_male_mean_income_current,West_male_mean_income_2017currency,West_female_count_thousands,West_female_mean_income_current,West_female_mean_income_2017currency
2017,"18,607","41,206","41,206","16,455","28,765","28,765","2,455","39,830","39,830","2,405","29,866","29,866","1,743","41,030","41,030","1,449","29,357","29,357","7,120","41,143","41,143","6,063","28,818","28,818","7,288","41,773","41,773","6,539","28,180","28,180"
2016,"17,879","42,007","42,910","15,768","27,087","27,670","2,348","40,090","40,952","2,343","27,010","27,591","1,717","37,642","38,452","1,451","25,411","25,957","6,751","43,064","43,990","5,781","27,731","28,327","7,063","42,696","43,614","6,193","26,907","27,486"
2015,"17,549","39,238","40,599","15,415","27,116","28,056","2,343","43,448","44,955","2,291","29,965","31,004","1,688","36,595","37,864","1,451","25,688","26,579","6,579","42,055","43,513","5,669","27,208","28,152","6,938","35,788","37,029","6,004","26,286","27,198"
2014,"17,036","36,452","37,781","14,691","24,731","25,633","2,295","35,097","36,377","2,244","25,380","26,305","1,583","34,987","36,263","1,313","22,654","23,480","6,238","37,859","39,239","5,325","25,520","26,451","6,919","35,969","37,281","5,809","24,226","25,109"
2013 (39),"16,757","35,221","37,123","14,376","24,530","25,855","2,245","37,839","39,883","2,116","33,647","35,464","1,581","31,116","32,797","1,113","24,447","25,767","6,300","37,823","39,866","5,552","22,639","23,862","6,631","32,841","34,615","5,595","22,976","24,217"
2013 (38),"16,484","34,176","36,022","14,034","24,327","25,641","2,161","33,376","35,179","2,179","25,299","26,666","1,466","32,829","34,602","1,147","22,869","24,104","6,225","34,567","36,434","5,078","24,636","25,967","6,632","34,367","36,223","5,630","23,969","25,264"
2012,"16,005","33,553","35,889","13,689","23,472","25,106","2,061","34,609","37,019","2,155","25,202","26,957","1,490","31,602","33,802","1,116","22,031","23,565","5,956","33,139","35,446","4,975","23,578","25,220","6,498","34,045","36,416","5,443","22,985","24,585"
2011,"15,665","31,979","34,930","13,278","23,309","25,460","2,220","31,603","34,519","2,147","24,587","26,856","1,357","30,430","33,238","1,044","23,415","25,576","5,606","33,335","36,411","4,761","23,225","25,368","6,482","31,260","34,145","5,326","22,848","24,957"
2010,"15,106","31,485","35,475","12,947","22,614","25,480","2,155","29,222","32,925","2,130","23,155","26,089","1,310","28,900","32,562",968,"21,446","24,164","5,493","32,494","36,612","4,689","23,103","26,031","6,148","31,927","35,973","5,160","22,165","24,974"
2009,"14,919","30,928","35,422","12,035","22,866","26,189","2,043","32,027","36,681","1,824","25,907","29,671","1,194","31,019","35,526",899,"21,664","24,812","5,619","30,032","34,396","4,425","21,945","25,134","6,063","31,371","35,929","4,888","22,785","26,096"
2008,"14,855","32,534","37,132","11,828","22,063","25,181","2,001","33,910","38,702","1,840","23,606","26,942","1,165","31,890","36,397",900,"21,536","24,580","5,520","31,616","36,084","4,267","21,476","24,511","6,170","33,030","37,698","4,821","22,093","25,215"
2007,"14,609","31,693","37,561","11,265","22,649","26,843","1,927","30,004","35,560","1,801","23,174","27,465","1,178","30,363","35,985",886,"21,689","25,705","5,374","31,804","37,693","3,954","22,644","26,837","6,130","32,382","38,378","4,624","22,632","26,823"
2006,"14,358","31,432","38,308","11,090","21,676","26,418","1,879","32,286","39,349","1,764","22,200","27,057","1,225","32,291","39,355",875,"20,544","25,038","5,310","30,824","37,567","3,936","21,102","25,719","5,945","31,527","38,424","4,514","22,191","27,046"
2005,"13,714","29,799","37,495","10,638","20,356","25,614","1,894","34,111","42,921","1,732","20,562","25,873","1,117","28,813","36,255",809,"20,530","25,832","5,083","28,869","36,325","3,838","19,761","24,865","5,620","29,383","36,972","4,259","20,774","26,139"
2004 (35),"13,256","29,232","38,028","10,396","19,494","25,360","1,691","30,693","39,929","1,670","19,785","25,738","1,188","28,952","37,664",807,"21,008","27,329","4,847","27,888","36,280","3,650","19,046","24,777","5,530","30,023","39,057","4,268","19,476","25,336"
2003,"12,753","27,725","37,042","10,175","18,852","25,187","1,656","29,678","39,651","1,591","19,043","25,442","1,215","27,303","36,478",797,"19,713","26,338","4,712","26,799","35,805","3,586","18,698","24,981","5,171","28,044","37,468","4,202","18,748","25,048"
2002,"12,624","27,647","37,777","10,018","18,180","24,841","1,717","29,646","40,508","1,597","19,795","27,048","1,142","26,669","36,440",821,"17,736","24,234","4,506","28,646","39,142","3,544","16,973","23,192","5,259","26,352","36,007","4,056","18,690","25,538"
2001,"11,766","26,674","37,022","9,691","17,846","24,769","1,577","26,928","37,374","1,510","17,042","23,653","1,011","28,514","39,575",760,"21,024","29,180","4,150","26,152","36,297","3,339","17,012","23,611","5,029","26,656","36,997","4,083","18,234","25,307"
2000 (30),"11,343","26,068","37,211","9,431","17,065","24,359","1,510","26,239","37,455","1,526","17,509","24,993",941,"26,786","38,235",679,"21,161","30,206","4,219","26,481","37,800","3,321","16,332","23,313","4,673","25,494","36,391","3,904","16,804","23,987"
