Year,USA_male_count_thousands,USA_male_mean_income_current,USA_male_mean_income_2017currency,USA_female_count_thousands,USA_female_mean_income_current,USA_female_mean_income_2017currency,Northeast_male_count_thousands,Northeast_male_mean_income_current,Northeast_male_mean_income_2017currency,Northeast_female_count_thousands,Northeast_female_mean_income_current,Northeast_female_mean_income_2017currency,Midwest_male_count_thousands,Midwest_male_mean_income_current,Midwest_male_mean_income_2017currency,Midwest_female_count_thousands,Midwest_female_mean_income_current,Midwest_female_mean_income_2017currency,South_male_count_thousands,South_male_mean_income_current,South_male_mean_income_2017currency,South_female_count_thousands,South_female_mean_income_current,South_female_mean_income_2017currency,West_male_count_thousands,West_male_mean_income_current,West_male_mean_income_2017currency,West_female_count_thousands,West_female_mean_income_current,West_female_mean_income_2017currency
2017,"93,537","60,711","60,711","92,669","37,896","37,896","16,631","66,478","66,478","16,917","41,848","41,848","21,333","59,008","59,008","21,600","36,436","36,436","33,183","59,256","59,256","32,761","36,606","36,606","22,390","60,207","60,207","21,391","38,220","38,220"
2016,"92,415","58,706","59,968","91,898","36,664","37,452","16,309","63,245","64,605","16,736","40,994","41,876","21,241","56,777","57,998","21,531","35,040","35,794","32,779","56,687","57,906","32,604","35,474","36,237","22,086","60,204","61,499","21,027","36,728","37,518"
2015,"92,016","56,510","58,470","91,319","34,735","35,940","16,518","61,461","63,592","16,846","37,830","39,142","21,380","54,350","56,235","21,567","33,548","34,711","32,287","55,457","57,380","32,010","33,697","34,866","21,832","56,439","58,396","20,897","35,054","36,270"
2014,"90,750","54,954","56,958","90,124","32,901","34,101","16,306","60,146","62,339","16,743","35,405","36,696","21,374","53,523","55,475","21,453","31,838","32,999","31,573","54,185","56,161","31,571","31,980","33,146","21,497","53,569","55,522","20,357","33,391","34,609"
2013 (39),"91,012","54,158","57,083","90,067","32,725","34,493","16,555","58,365","61,518","16,796","36,885","38,877","21,077","53,402","56,286","21,441","31,905","33,628","31,921","52,683","55,529","31,531","30,121","31,748","21,459","53,850","56,759","20,300","34,195","36,042"
2013 (38),"89,758","52,479","55,314","88,344","32,558","34,317","16,202","57,403","60,504","16,627","35,132","37,030","21,218","49,379","52,046","21,157","31,649","33,359","31,219","50,413","53,136","30,687","31,462","33,161","21,120","54,872","57,836","19,873","33,065","34,851"
2012,"89,220","51,589","55,181","88,174","31,721","33,930","16,108","55,102","58,939","16,740","34,546","36,951","20,721","50,733","54,266","21,049","30,676","32,812","31,254","49,606","53,060","30,676","30,575","32,704","21,137","52,682","56,350","19,710","32,222","34,466"
2011,"88,518","50,759","55,443","87,562","30,931","33,785","16,184","54,743","59,795","16,745","33,062","36,113","20,414","49,067","53,595","20,900","29,485","32,206","31,147","49,786","54,380","30,262","30,105","32,883","20,773","50,777","55,463","19,655","31,927","34,873"
2010,"87,829","48,839","55,028","86,999","30,096","33,910","16,009","53,779","60,594","16,620","32,122","36,192","20,609","46,227","52,085","20,793","28,782","32,429","30,666","47,758","53,810","29,999","29,373","33,095","20,544","49,223","55,460","19,588","30,881","34,794"
2009,"88,655","48,096","55,085","87,039","30,004","34,364","16,210","55,289","63,323","16,739","32,314","37,009","20,863","44,705","51,201","20,794","28,535","32,681","30,723","45,696","52,336","29,853","28,966","33,175","20,860","49,432","56,615","19,654","31,168","35,697"
2008,"88,877","49,316","56,285","87,416","29,310","33,452","16,262","53,197","60,715","16,814","31,371","35,804","20,839","46,341","52,890","21,131","27,839","31,773","30,635","47,641","54,374","29,806","28,257","32,250","21,140","51,690","58,995","19,665","30,724","35,066"
2007,"88,459","48,805","57,842","86,431","29,352","34,787","16,248","51,485","61,018","16,583","31,356","37,162","20,800","47,273","56,026","21,086","27,593","32,702","30,607","47,501","56,296","29,349","28,357","33,608","20,804","50,164","59,452","19,412","31,057","36,808"
